id;name;description;date;url_course
1;Diseño Web Básico;Curso intersemestral de desarrollo web nivel básico. No necesitas conocimiento previo, únicamente una computadora con acceso a internet;Del 10 de Enero al 14 de Enero de 2022, 5:00 pm a 8:00 pm;http://protecounam.mx/img/logos/ImagenDise%C3%B1o%20Web%20B%C3%A1sico
2;Excel;Curso intersemestral de Excel. No necesitas conocimiento previo, únicamente una computadora con acceso a internet;Del 24 de Enero al 28 de Enero de 2022, 6:00 pm a 9:00 pm;http://protecounam.mx/img/logos/ImagenExcel.png
3;Python Básico AM;Curso intersemestral de Python Básico en horario matutino . Se recomienda como conocimiento previo fundamentos de programación y contar con computadora propia con conexión a internet;Del 10 de Enero al 14 de Enero de 2022, 8:00 am a 11:00 am;http://protecounam.mx/img/logos/ImagenPython%20b%C3%A1sico%20AM.png
4;R Básico;Curso intersemestral de R Básico en horario matutino;Del 24 de Enero al 28 de Enero de 2022, 8:00 am a 11:00 am;http://protecounam.mx/img/logos/ImagenR%20B%C3%A1sico.jpg
5;Ensamblado y Mantenimiento de PC's;Curso intersemestral de Ensamblado y Mantenimiento de PC's en horario vespertino. No requieres conocimientos previos, únicamente computadora personal con acceso a internet;Del 24 de Enero al 28 de Enero de 2022, 2:00 pm a 5:00 pm;http://protecounam.mx/img/logos/ImagenEnsamblado%20Y%20Mantenimiento%20De%20PC%E2%80%99S.jpg
